comment,toxic
верблюдов дебилы бл,1.0
хохлы это отдушина затюканого россиянина мол вон хохлов хуже хохлов кисель придумал,1.0
собаке собачья смерть,1.0
страницу обнови дебил это оскорбление доказанный факт дебил множественном числе писать верим это твои воображаемые друзья,1.0
убедил страничный пдф скрипалей отравила россия анализировать думать пытаешься ватник,1.0
каких стан является эталоном современная система здравоохранения рф зимбабве тупой хохлы,1.0
шапке ссылки инфу текущему фильму марвел ссылки заменены фразу репортим брипидора игнорируем посты недостаточно понять модератор абсолютный неадекват нужно лишить полномочий эта борда пробивает абсолютное дно неадекватности,0.0
упад т строить технологий разворуют трещинами пош л тупые китазы могут нормально сделать,1.0
ебать разносит шизик,1.0
обосрался сиди обтекай,1.0
пишешь хуйню дегенерат поцелуй губы поцелую засос,1.0
бактерия тебе понять ист е рик поподробнее сахаров н вещает бред написал вс логично фраза обращена тебе твои проблемы учись изъясняться определ ннее заказал книгу второй мировой войне ой извини шваль просто чернь это условии действительно заказал маняграфию,1.0
почитайте посты автора найдете полезное надеюсь помог,0.0
уроды семье поколения родились,1.0
можем ещ модера безмозглых позвать,1.0
хорош врать террорист торч шизофреник пруф костюма чутка уч ный миллиардер филантроп,1.0
всем кстати наплевать главное уровень жизни вдвойне наплевать кукареканье тупорылого хохла форума помойки,1.0
графику обидно проходил серии гта второй части пятую кроме гта мешала графика одной частей компе куча видеокарт начиная мб заканчивая гб которой спокойно играю который год танки гта ведьмака купил распродаже начал проходить ультрах пониженными текстурами мешает понимаю дрочева графике требовать графику уровня плойки минимум глаза резало поводу управления хватает переходника джойстик иксбокса потенциала мобильных играх достаточно забить кнопки забивались той самая плохая игра,0.0
вообще мимо ш л поплачу твоей головушкой подзалупная истеричка дальше пойду тупой обманутый ванька те воеваки глупые невоспитанные бедные прошлого будущего наебали ресентимент ушлые чекисты такие жирные приживалы гейгорка гоблач вс это снимает личной ответственности жизнь поступки очень жаль руки тебе подам отгрыз шь,1.0
мэдисон стример это троллинг мать детстве роняла тебе нравится прикидываться тупым просто тупой,1.0
посмотрел комментарии твоим постам процент говнокомментов ниже средней отметки,1.0
это утверждал чмоха спалились,1.0
обеих странах партия войны обеих странах эта война разжигается поддерживается смотрите парни руснявого пиздежа пидараны требуют хорошего отношения мань это украина хуярит роисе градами украина засылает роисю террористов бандитов ихтамнетов харк тебе ебло спидозная тварь,1.0
причем чувство юмора придумал опроверг писал считают веселой нацией,1.0
агрессия ткнули твое дерьмо обтекай это отрицательных эмоций просто факт,1.0
имеешь против кремля холоп заморского барина,1.0
ох вау стороной ножа резать подскажешь дебил хвастается рязанским еблом ещ гуглит незнакомые словечки вся суть никому нужного селюка никому нужным тредом,1.0
это смешно уроды могут поржать объяснишь уроды приспособились этим жить пока потребляют удобны тому продает хавку цацки скорее верно ваше утверждение мир ебанутый узко смотреть,1.0
,0.0
пытаться украинский прекрасно читается отлично читаю будучи русским либералом учив специально украинский вон лога чев бола шенко ватник причем поехавший справкой позволяющей ездить пригородных поездах понимает украинский белоррусский польский свой пруфы ищите инфожд новороссия это эксперементальный полигон пыня проводит эксперемент определению уровня терпильности россиян допустим сначала новороссии вводят новшевство россияне терпят такие вещи введут рф новороссия новохуесоссия это давно ясно полигон якобы независимая беларусь,1.0
ещ русня дегенераты пиздец просто,1.0
тебе сказать нечего понимаешь нету своего понимания вопроса животное хуже отвечай такими высерами типичный представитель травли тредов,1.0
диванный политолог слился обычно,1.0
каких пор неадекват это оскорбление пикабу тысячи таких комментариев модераторы будучи призванными удаляют дураком называл это вопрос дурак таких вопросов пикабу тысячи вплоть ебанутый долбоеб считаются оскорблением удаляются считаете оскорблением тысячи оскорблениями считали правила одном случае работают другом это угодно правила,1.0
год это либо тебе уши ссыт завидовал либо знаю рабстве каком бодишопе это средний американец это лох туда наши боди шопы перевозят людей год это учетом визы которая запрещает смену работодателя т е условия средние лучшие равно никуда денешься зашел медианные зарплаты почитал позорился своими выдуманными знакомыми страховками цифры смог прочитать короче методичка хорошая те теме сразу видят пиздабол,1.0
возьм м пример россию западноевропейские страны сша ид т метисация сознательная политика замещения белого населения пришлое черно коричневое ид т создание новой расы метисов исламизация почернение крупных городах половина населения выходцы ебеней мексики африки ближнего востока случае россией кавказа средней азии этнические ниггеро арабские гетто верят хую законы хотят чудовищная масштабам этническая преступность говорить миграции затрагивать тему замещения коренного населения властями иначе бутылка свобода слова молодой человек говорить белые должны вымереть это нормально белые официально вымирают вед тся пропаганда иначе направленная снижение рождаемости белого населения феминизм лгбт чайлдфри каждая женщина швеции леволиберальная феминистка это страна победившего феминизма сегодня происходит страшно делается пропагандируются смешанные браки межрасовые браки пропагандируется превосходство детей метисов ид т демонизация белых пропаганда превосходства ч рных смуглых мужчин форс отношений белая женщина смуглый ч рный мужчина мигрант результат вс чернильниц вс смешанных браков вс небелых метисов белые женщины просто хотят контактировать мужчинами своей нации расы наделяя самыми плохими качествами обожествляя черных большинство белых считает завоз чурок плохим наоборот относятся толерантно проводится политика насаждения толерантности мультикультурализма политкорректности космополитизма набирающее популярность россии это вообще отдельная тема обсуждения вс вышеперечисленное относится сильнейшим странам бывшим империям нагибающим слабых сегодня происходит бывшие империи прямом смысле деградируют вырождаются вымирают место сильнейших господствующих народов занимают те кого колонизировали франции будут доминировать негры арабы россии кавказцы выходцы средней азии великобритании индийцы негры арабы пакистанцы маленьких нейтральных странах вроде словении беларуси литвы чехии румынии эстонии вс пучком вымирание грозит остаются будут оставаться белыми вед тся политика направленная сохранение традиционных ценностей культуры коренного населения сказали беженцам польшу например русскому украинцу гораздо легче переехать остаться арабу африканцу германии ситуация противоположная белых ждут польша чехия словакия венгрия словения хорватия сербия биг черногория македония греция болгария румыния молдова украина беларусь литва латвия эстония европа будущего скандинавия южная западная европа также россия лишатся коренного населения своей культуры,0.0
старый маразматик писать кириллицей латинницей виднее спорю задвигают русский язык видно дальше скажут казахском внезапно пол страны окажется вторым сортом надеюсь ошибаюсь это проходили других странах азии прибалтики закавказья мир всем мире русский слон лучший друг казахского слона,0.0
шизофазия речевая разорванность симптом психических расстройств выражающийся нарушении структуры речи которой отличие речевой бессвязности потока несвязанных слов фразы строятся правильно однако несут никакой смысловой нагрузки содержание речи соответствует содержанию бреда это расстройство речи отражает разорванность мышления пациентов это расстройство характерно прежде шизофрении понятие шизофазии введено э крепелином году некоторое время считалась особой формой шизофрении некоторые авторы выделяют отдельную форму шизофрении таким названием шизофазии характерна повышенная речевая активность речевой напор также симптом монолога характеризующийся речевой неистощимостью отсутствием потребности собеседнике правило симптом сочетается внешней упорядоченностью доступностью общения относительной интеллектуальной аффективной сохранностью больных отличительной чертой шизофазии считаются преимущественная продукция морфемных словообразований глоссоманиакальных высказываний помимо параноидной формы шизофрении возникать тяж лом слабоумии,0.0
совке самое лучшее образование мнению любителей заряжать воду телевизора совке самые красивые девушки мнению новиопов совке самые лучшие товары мнению любителей подтирать жопу газетой туалетной бумагой совке самая лучшая медецина мнению самого абортируемого народа совке самая лучшая техника мнению любителей плагиата совке самый высокий уровень жизни мнению любителей дефицита,1.0
самоподдув манямирка какла весь мир аллах завидуют жителю нищей полубандитской папуасии окраине россии,1.0
ен шт т нев д б льшин тву п д тк нев ды з ешен дить м шину п з н п екту т ый м т ен з н д тельн м г шт т нев д з н п ект мблеи н п влен н ши ение уще твующег г уд твенн г з н п зв лит ель ким жителям з те т лет м т ятельн ездить шк лу неб льших г д х уг х х дят шк льные вт бу ы эт ме п дде нн депут т м мблеи лек м х н ен м п ед т вит п ивилегию уч щим нез ви т т г н х дит шк л эт зн ч ет чт летние дети м гут е ездить шк лы т ые п ед т вляют вт бу ы ученик м д т ких упных уг х ш кл дители шт т нев д м гут п лучить п уч щег з те лет п л вии чт везут б й п жи т му п лнил г д нег пыт ждения менее г д нев д дин немн гих шт т кт з еш ет дителям п луч ть з ешения уч щих з те д лет южн д т выд ет уч щим з те лет г ниченные п з те лет,0.0
давай разбер м вс тобой написанное бляядь действительно думаете пидорашек целом вс жив т рашке затронуто говномидасом никто это признает воспитывают массу хороших кодеров соседнем треде обоссали иди обтекай унижаете русских детей школе учился рашке класс который состоял онли русачков думаешь изменилось чурки тебе говна жопу залили заставили русачков классе кошмарить омежных русачков люблю выражаться фразами нациков воистину столетия просто сидели горах ебали баранов народ пидор смог захватить плоховато знаешь историю русня пришла кавказ вс поделено османами персами ри наебала персов постоянно нападала османов высасывая причины пальца принципе русачки ещ ожидать прошлом чеченцы даги прочие сорта просто дикарями говорить среднеазиатах которые бугуртят оккупации обычными нищими кочевниками очередной акт незнания истории например кавказцев факту народов отвественных этногенез дагов азеров дербент русачков планах почитай историю кавказа средней азии локальные империи нагибы округи прочее прочее называют русских пидорашками славщитом говоришь это плохое знакомые рашеры которые являются русскими которые ссут русню ещ большей колокольни боятся пидорашка сделает пару дырок защищая посадят бутылку убь те пидорашку нихуя рашке мочить волыны ножа человека который ид т кулаками превышение пределов самообороны виноват русня настолько вырожденческая чеченский доходяга ставит колени группу русачков думаешь будь руснявая гопота менее вырожденческая людей кошмарила виноват морозитесь те съебатору видите вашего славянского друга избивают унижают митинг вспомните жирик какого парня колени поставил вокруг стоят снимают словно стадо руснявых баранов зуб даю той толпе стояли друзья знакомые лично это пиздец особенно проигрываю братуха борцуха смарч чеченский бросил бросал друга таком пиздеце важно нации друг нападавший вся ваша проблема слабками большинство русачков еблом похож свинью тысячу лет существования смогли построить нормальную цивилизацию другим давали проблема обыкновенной ошибке выжившего видите кавказское быдло гопника оно среднем сильнее напористее агрессивнее образ кавказца лица которое представляет опасность выжигается мозгах хотите замечать целые города набитые руснявыми ауешниками среднестатистический руснявый гопник ауешник быдлойд сос т одного среднестатистического чуркобесского гопника быдлойда конечном итоге русачков станице кущевской ебал другие русачки школу приезжали выберали лолей бку другие русачки сжигал русачков другие русачки вс вскрылось совершенно случайно сколько таких станиц деревень городов всей рашке аз кун,1.0
тролль нес шь присоединить исконно русские територии исконно русским терриориям,1.0
люди зажрались охуели мнению этих игроков андромеда антема хотя че багаутом сравнивают вон оно че оказывается игроки просто охуели ок долбанные пидерасы хотят покупать такую отличную игру смеют ругать божественный геймплей баги хуевый геймплей поправят контент запилят год причем бесплатно ага стоит лишь потерпеть,1.0
ладно обсерился понял можешь уходить,1.0
блядь хохлы проксей писали няши тупые,1.0
уважаемый реально глупый вкуриваешь чьих именно трусах идет речь просто дурака валяешь,1.0
сути никто работает дольше х лет стажа типа сириус конторе филиале роскосого универа работают всяких лабораториях уебывают вольные хлеба постоянно старичье совкового пошива сотни начальников которых работу ходят чисто зп получают,0.0
таких поверь,1.0
говорят алиэкспересских лански очень быстро стираются камни подумываю приобретении заточной системы своих складников оригинальную покупать дорого китайскую хз итоге пользуюсь самодельной,0.0
сожаленю приходится опускаться уровня понятного тупым пиндосам показывать мультики пиндосы поняли сколько секунд исчезнут вместе своим фашингтоном,1.0
тупая шлюха эта мразь лила отбеливатель штаны ними еду делам обливают штаны охуенно наверно баловство оно такое приколу преследовалась цель бабской ебанутой мести это явно прослеживается могла просто стрельнуть водного пистолета водой вс мужики задумались никто обиде,1.0
кстати говорить сельских жителях хохлы попрацовитее будут кацапы хохлов огородик садочок вишневый биля хаты обязательно палисадник цветочками плезир одним словом царь петр говорил кацапа дом бревен помойка дворе цыган,1.0
это подгорает одном месте видимо перцем намазали,1.0
те быдло те быдло пиздит быдло нормально,1.0
антонио весь красном,0.0
гомосексуалист,1.0
коммент ответ коммент это видно прямо мониторе ответ теме ваше выступление выезд лыжах знаю откуда туда вернуться,1.0
явно россиянин первых одному россиянину прид т голову спрашивать чь мнение вопросу крыма вторых сегрегация людей помощи вопроса чей крым это чисто холяцко нацистский мчик палишься порохобот третьих свободная страна каждый имеет право сво собственное мнение любым вопросам кандидат президенты открыто заявлял крым вернуть украине,1.0
какого века блядь,1.0
ясно понятно высказать аргументы можете умеете минус нажать ок пошла безмозглыми разговаривать вс равно скоро докраситесь рул м дтп помр те естественный отбор чо,1.0
твоих граждан твои товары раст т продолжительность жизни те гауляйтеры это твои хозяева кормильцы предающие насилующие российский народ ежедневно ежечасно торгуете недрами пытаетесь пристроить награбленное подальше ограбляемогонарода наполнили страну полицаями защищающими исключительно ваши интересы российского народа гоните нато нефть газ лес прочие ресурсы которые воруете россиян обложили данью мелких крупных торговцев самозанятых выживающих беспределе грабежа воровства творимого вами стране оплачиваете свои права кровью народа свои права уничтожению самого народа деньги превратили мерило прав право здравоохранение образование защиту базовые права требуете оплачивать считая людьми гражданами никого кроме тех это вс оплатит звонкой монетой войска нато привед те страну своей неудержимой жаждой денег власти это сделал ваш свято кровавый николашка приведя россию своих партн ров ваши партн ры мои знайте ваши партн ры грабительскому бизнесу придут лишать вашей доли будут другую сторону фронта российского народа точно вместе другую сторону фронта экономического последние лет ваши головы дам гнилой картошины бойтесь бойтесь просто враги предатели собственного народа говно безродное нелюди очистив страну таких возможно е защитить запиши обороте своей методички передай команде,1.0
тамбовский волк тебе товарищ,1.0
всраньку леху пыню влада сисяна затравили шлюху почему тян,1.0
жизни купил такое дорогое пиво повседневные жителей столицы вещи повседневные вон родители приезжают проводим мощную культурную программу ездим горы океан т д получается очень насыщенно вс остальное время года это делаем намного реже повседневно это метро исторический центр архитектура больший выбор кнотеатров театров вузов магазинов бизнесов меньшая унылость,1.0
максим галкин задал вопрос удовольствием отвечаю максим спасибо подняли такую важную проблему однако согласиться вами могу пода те дело владимир соловь просто звезда шоу бизнеса наподобие американской опры зарабатывает значит покупать дома угодно это соловьев государственный пропагандист государственном телевидении везде вылезает экрана талантлив стране тв монополия государства соловь готов врать других держат экране реальная конкуренция ток шоу телеведущими соловь место третьесортным радиоведущим каким собственно настоящих звезд ток шоу нашего телевидения выгнали программы закрыли соображениям цензуры максим говорите рейтингах прибылях которые соловь приносит каналу россия смотрю таблицу бюджета нашей страны вижу россия глубоко убыточна ежегодно получает бюджетную дотацию миллиарда рублей прошлый год миллиарда максим хватило оплатить операции всем больным детям стране ушло это гонорары всяким соловь вым превратилось виллы итальянском озере комо это соловь приносит налогоплательщики максим приносим деньги карман хочу оплачивать роскошную итальянскую жизнь лжеца лицемера мерзавца никакой ненависти богатым никакого большивизма здравый смысл видео взято телеканала дождь логотип обрезан злому умыслу отрезал инстаграм делая ролик квадратным,1.0
поверите н л ь,0.0
